formacode,description,field,generic_term
98711,contrat de génération,,98701 CONTRAT AIDE
98703,contrat unique d'insertion,,98701 CONTRAT AIDE
98704,contrat d'accompagnement à l'emploi,,98703 CONTRAT UNIQUE D'INSERTION
98705,contrat initiative emploi,,98703 CONTRAT UNIQUE D'INSERTION
98706,emploi d'avenir,,98701 CONTRAT AIDE
98707,emploi d’avenir professeur,,98701 CONTRAT AIDE
98708,contrat d'accueil et d'intégration,,98554 DISPOSITIFS/MESURES EMPLOI-FORMATION
98709,contrat d'insertion dans la vie sociale,,98554 DISPOSITIFS/MESURES EMPLOI-FORMATION
98720,contrat d'insertion professionnelle intérimaire,,98554 DISPOSITIFS/MESURES EMPLOI-FORMATION
98710,contrat de formation professionnelle,,98554 DISPOSITIFS/MESURES EMPLOI-FORMATION
98721,contrat de rééducation professionnelle,,98554 DISPOSITIFS/MESURES EMPLOI-FORMATION
98712,contrat de sécurisation professionnelle,,98554 DISPOSITIFS/MESURES EMPLOI-FORMATION
98713,contrat de volontariat pour l'insertion,,98554 DISPOSITIFS/MESURES EMPLOI-FORMATION
98714,contrat développement professionnel intérimaire,,98554 DISPOSITIFS/MESURES EMPLOI-FORMATION
98715,contrat en alternance,,98554 DISPOSITIFS/MESURES EMPLOI-FORMATION
98717,contrat de professionnalisation,,98715 CONTRAT EN ALTERNANCE
98716,contrat d’apprentissage,,98715 CONTRAT EN ALTERNANCE
98718,cycle d'insertion professionnelle par alternance,,98715 CONTRAT EN ALTERNANCE
98719,"parcours d’accès aux carrières territoriales, hospitalières et de l’État",,98715 CONTRAT EN ALTERNANCE
98722,contrat service civique,,98554 DISPOSITIFS/MESURES EMPLOI-FORMATION
98616,CPF transition professionnelle,,98554 DISPOSITIFS/MESURES EMPLOI-FORMATION
98804,développement professionnel continu,,98554 DISPOSITIFS/MESURES EMPLOI-FORMATION
98805,DIF,,98554 DISPOSITIFS/MESURES EMPLOI-FORMATION
98808,école de la deuxième chance,,98554 DISPOSITIFS/MESURES EMPLOI-FORMATION
98809,études promotionnelles,,98554 DISPOSITIFS/MESURES EMPLOI-FORMATION
98812,formation complémentaire d'initiative locale,,98554 DISPOSITIFS/MESURES EMPLOI-FORMATION
98810,formation des sapeurs-pompiers volontaires,,98554 DISPOSITIFS/MESURES EMPLOI-FORMATION
98811,formation intégrée,,98554 DISPOSITIFS/MESURES EMPLOI-FORMATION
98813,itinéraire personnalisé d'accès à la qualification diplômes,,98554 DISPOSITIFS/MESURES EMPLOI-FORMATION
98814,module d'accueil en lycée,,98554 DISPOSITIFS/MESURES EMPLOI-FORMATION
98815,module de repréparation à l'examen par alternance,,98554 DISPOSITIFS/MESURES EMPLOI-FORMATION
98816,période de professionnalisation,,98554 DISPOSITIFS/MESURES EMPLOI-FORMATION
